"SpotracName","SpotracUrl","SpotracSalary","SpotracNotes","SpotracSource","SpotracSeason","SpotracClean"
"A.J. Griffin","https://www.spotrac.com/nba/player/_/id/78119","$3,889,920","","https://www.spotrac.com/nba/houston-rockets/cap/_/year/2024/","2024-25","aj_griffin"
"A.J. Griffin","https://www.spotrac.com/nba/player/_/id/78119","$5,967,137","","https://www.spotrac.com/nba/houston-rockets/cap/_/year/2025/","2025-26","aj_griffin"
"A.J. Lawson","https://www.spotrac.com/nba/player/_/id/74329","$2,120,683","","https://www.spotrac.com/nba/dallas-mavericks/cap/_/year/2024/","2024-25","aj_lawson"
"A.J. Lawson","https://www.spotrac.com/nba/player/_/id/74329","$2,301,587","","https://www.spotrac.com/nba/dallas-mavericks/cap/_/year/2025/","2025-26","aj_lawson"
"A.J. Lawson","https://www.spotrac.com/nba/player/_/id/74329","$2,489,752","","https://www.spotrac.com/nba/dallas-mavericks/cap/_/year/2026/","2026-27","aj_lawson"
"Aaron Gordon","https://www.spotrac.com/nba/player/_/id/15356","$22,841,455","","https://www.spotrac.com/nba/denver-nuggets/cap/_/year/2024/","2024-25","aaron_gordon"
"Aaron Gordon","https://www.spotrac.com/nba/player/_/id/15356","$22,841,455","","https://www.spotrac.com/nba/denver-nuggets/cap/_/year/2025/","2025-26","aaron_gordon"
"Aaron Holiday","https://www.spotrac.com/nba/player/_/id/26989","$4,668,000","","https://www.spotrac.com/nba/houston-rockets/cap/_/year/2024/","2024-25","aaron_holiday"
"Aaron Holiday","https://www.spotrac.com/nba/player/_/id/26989","$4,901,400","","https://www.spotrac.com/nba/houston-rockets/cap/_/year/2025/","2025-26","aaron_holiday"
"Aaron Nesmith","https://www.spotrac.com/nba/player/_/id/70656","$11,000,000","","https://www.spotrac.com/nba/indiana-pacers/cap/_/year/2024/","2024-25","aaron_nesmith"
"Aaron Nesmith","https://www.spotrac.com/nba/player/_/id/70656","$11,000,000","","https://www.spotrac.com/nba/indiana-pacers/cap/_/year/2025/","2025-26","aaron_nesmith"
"Aaron Nesmith","https://www.spotrac.com/nba/player/_/id/70656","$11,000,000","","https://www.spotrac.com/nba/indiana-pacers/cap/_/year/2026/","2026-27","aaron_nesmith"
"Aaron Wiggins","https://www.spotrac.com/nba/player/_/id/74162","$10,514,017","","https://www.spotrac.com/nba/oklahoma-city-thunder/cap/_/year/2024/","2024-25","aaron_wiggins"
"Aaron Wiggins","https://www.spotrac.com/nba/player/_/id/74162","$9,672,897","","https://www.spotrac.com/nba/oklahoma-city-thunder/cap/_/year/2025/","2025-26","aaron_wiggins"
"Aaron Wiggins","https://www.spotrac.com/nba/player/_/id/74162","$8,831,776","","https://www.spotrac.com/nba/oklahoma-city-thunder/cap/_/year/2026/","2026-27","aaron_wiggins"
"Aaron Wiggins","https://www.spotrac.com/nba/player/_/id/74162","$7,990,655","","https://www.spotrac.com/nba/oklahoma-city-thunder/cap/_/year/2027/","2027-28","aaron_wiggins"
"Aaron Wiggins","https://www.spotrac.com/nba/player/_/id/74162","$7,990,655","","https://www.spotrac.com/nba/oklahoma-city-thunder/cap/_/year/2028/","2028-29","aaron_wiggins"
"Adam Flagler","https://www.spotrac.com/nba/player/_/id/86081","Two-Way","","https://www.spotrac.com/nba/oklahoma-city-thunder/cap/_/year/2024/","2024-25","adam_flagler"
"Adama Sanogo","https://www.spotrac.com/nba/player/_/id/84939","Two-Way","","https://www.spotrac.com/nba/chicago-bulls/cap/_/year/2024/","2024-25","adama_sanogo"
"Adem Bona","https://www.spotrac.com/nba/player/_/id/91790","$1,157,153","","https://www.spotrac.com/nba/philadelphia-76ers/cap/_/year/2024/","2024-25","adem_bona"
"Adem Bona","https://www.spotrac.com/nba/player/_/id/91790","$1,955,377","","https://www.spotrac.com/nba/philadelphia-76ers/cap/_/year/2025/","2025-26","adem_bona"
"Adem Bona","https://www.spotrac.com/nba/player/_/id/91790","$2,296,271","","https://www.spotrac.com/nba/philadelphia-76ers/cap/_/year/2026/","2026-27","adem_bona"
"Adem Bona","https://www.spotrac.com/nba/player/_/id/91790","$2,486,995","","https://www.spotrac.com/nba/philadelphia-76ers/cap/_/year/2027/","2027-28","adem_bona"
"AJ Green","https://www.spotrac.com/nba/player/_/id/78250","$2,120,693","","https://www.spotrac.com/nba/milwaukee-bucks/cap/_/year/2024/","2024-25","aj_green"
"AJ Green","https://www.spotrac.com/nba/player/_/id/78250","$2,301,587","","https://www.spotrac.com/nba/milwaukee-bucks/cap/_/year/2025/","2025-26","aj_green"
