Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Aaron Brooks,32,IND,PG,65,0,894,121,300,.403,48,128,.375,73,172,.424,.483,32,40,.800,18,51,69,125,25,9,66,93,322,0,,https://www.basketball-reference.com/players/b/brookaa01.html,https://www.basketball-reference.com/teams/IND/2017.html,aaron-brooks,391,6.0,0.44,13.8,2.6
Aaron Gordon,21,ORL,SF,80,72,2298,393,865,.454,77,267,.288,316,598,.528,.499,156,217,.719,116,289,405,150,65,40,89,172,1019,0,,https://www.basketball-reference.com/players/g/gordoaa01.html,https://www.basketball-reference.com/teams/ORL/2017.html,aaron-gordon,1418,17.7,0.62,28.7,10.9
Aaron Harrison,22,CHO,SG,5,0,17,0,4,.000,0,2,.000,0,2,.000,.000,1,2,.500,0,3,3,3,0,0,0,2,1,0,,https://www.basketball-reference.com/players/h/harriaa01.html,https://www.basketball-reference.com/teams/CHO/2017.html,aaron-harrison,5,1.0,0.29,3.4,0.3
Adreian Payne,25,MIN,PF,18,0,135,23,54,.426,3,15,.200,20,39,.513,.454,14,19,.737,9,24,33,7,8,7,8,32,63,0,,https://www.basketball-reference.com/players/p/paynead01.html,https://www.basketball-reference.com/teams/MIN/2017.html,adreian-payne,78,4.3,0.58,7.5,2.5
A.J. Hammons,24,DAL,C,22,0,163,17,42,.405,5,10,.500,12,32,.375,.464,9,20,.450,8,28,36,4,1,13,10,21,48,0,,https://www.basketball-reference.com/players/h/hammoaj01.html,https://www.basketball-reference.com/teams/DAL/2017.html,aj-hammons,71,3.2,0.44,7.4,1.4
Al-Farouq Aminu,26,POR,PF,61,25,1773,183,466,.393,70,212,.330,113,254,.445,.468,96,136,.706,77,374,451,99,60,44,94,102,532,0,,https://www.basketball-reference.com/players/a/aminual01.html,https://www.basketball-reference.com/teams/POR/2017.html,al-farouq-aminu,990,16.2,0.56,29.1,9.1
Al Horford,30,BOS,C,68,68,2193,379,801,.473,86,242,.355,293,559,.524,.527,108,135,.800,95,370,465,337,52,86,115,138,952,0,,https://www.basketball-reference.com/players/h/horfoal01.html,https://www.basketball-reference.com/teams/BOS/2017.html,al-horford,1639,24.1,0.75,32.2,18.0
Al Jefferson,32,IND,C,66,1,931,235,471,.499,0,1,.000,235,470,.500,.499,65,85,.765,75,203,278,57,19,16,33,125,535,0,,https://www.basketball-reference.com/players/j/jeffeal01.html,https://www.basketball-reference.com/teams/IND/2017.html,al-jefferson,747,11.3,0.8,14.1,9.1
Alan Anderson,34,LAC,SF,30,0,308,30,80,.375,14,44,.318,16,36,.444,.463,12,16,.750,3,21,24,11,3,0,7,35,86,0,,https://www.basketball-reference.com/players/a/anderal01.html,https://www.basketball-reference.com/teams/LAC/2017.html,alan-anderson,82,2.7,0.27,10.3,0.7
Alan Williams,24,PHO,C,47,0,708,138,267,.517,0,1,.000,138,266,.519,.517,70,112,.625,94,198,292,23,27,32,37,125,346,0,,https://www.basketball-reference.com/players/w/willial03.html,https://www.basketball-reference.com/teams/PHO/2017.html,alan-williams,558,11.9,0.79,15.1,9.4
