Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Key,FP,FPPG,FPPM,MPG,FPR
Aaron Gordon,27,DEN,PF,68,68,2055,429,761,.564,60,173,.347,369,588,.628,.603,191,314,.608,164,282,446,203,54,51,98,129,1109,0,,aaron-gordon,1636,24.1,0.8,30.2,19.2
Aaron Holiday,26,ATL,PG,63,6,845,92,220,.418,36,88,.409,56,132,.424,.500,27,32,.844,25,49,74,89,37,12,36,79,247,0,,aaron-holiday,344,5.5,0.41,13.4,2.2
Aaron Nesmith,23,IND,SF,73,60,1816,252,590,.427,115,314,.366,137,276,.496,.525,119,142,.838,62,215,277,98,55,34,75,235,738,0,,aaron-nesmith,892,12.2,0.49,24.9,6.0
Aaron Wiggins,24,OKC,SG,70,14,1297,186,363,.512,48,122,.393,138,241,.573,.579,59,71,.831,68,142,210,80,39,15,55,110,479,0,,aaron-wiggins,658,9.4,0.51,18.5,4.8
Admiral Schofield,25,ORL,PF,37,0,451,55,122,.451,24,74,.324,31,48,.646,.549,21,23,.913,23,39,62,31,8,5,16,61,155,0,,admiral-schofield,184,5.0,0.41,12.2,2.0
A.J. Green,23,MIL,SG,35,1,345,53,125,.424,44,105,.419,9,20,.450,.600,4,4,1.000,6,39,45,22,6,0,9,31,154,0,,aj-green,187,5.3,0.54,9.9,2.9
AJ Griffin,19,ATL,SF,72,12,1401,248,533,.465,101,259,.390,147,274,.536,.560,42,47,.894,37,116,153,73,42,12,42,87,639,0,,aj-griffin,790,11.0,0.56,19.5,6.2
A.J. Lawson,22,2TM,SG,15,0,108,22,44,.500,10,25,.400,12,19,.632,.614,2,8,.250,6,15,21,2,2,0,3,11,56,0,,aj-lawson,67,4.5,0.62,7.2,2.8
Al Horford,36,BOS,C,63,63,1922,228,479,.476,145,325,.446,83,154,.539,.627,15,21,.714,73,317,390,189,30,61,37,121,616,0,,al-horford,1128,17.9,0.59,30.5,10.5
Alec Burks,31,DET,SG,51,8,1122,200,459,.436,99,239,.414,101,220,.459,.544,153,188,.814,19,139,158,114,38,8,58,98,652,0,,alec-burks,814,16.0,0.73,22.0,11.6
Aleksej Pokusevski,21,OKC,PF,34,25,701,108,249,.434,38,104,.365,70,145,.483,.510,22,35,.629,45,114,159,64,20,43,43,58,276,0,,aleksej-pokusevski,461,13.6,0.66,20.6,8.9
Alex Caruso,28,CHI,PG,67,36,1575,130,286,.455,55,151,.364,75,135,.556,.551,59,73,.808,42,154,196,193,98,46,77,159,374,0,DPOY-11,alex-caruso,671,10.0,0.43,23.5,4.3
Alex Len,29,SAC,C,26,2,161,16,30,.533,0,2,.000,16,28,.571,.533,11,16,.688,24,36,60,12,4,11,16,28,43,0,,alex-len,86,3.3,0.53,6.2,1.8
Alize Johnson,26,SAS,PF,4,0,30,3,6,.500,0,2,.000,3,4,.750,.500,1,2,.500,2,8,10,1,1,0,4,3,7,0,,alize-johnson,12,3.0,0.4,7.5,1.2
Alondes Williams,23,BRK,SG,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,2,1,0,0,,alondes-williams,-2,-2.0,-0.4,5.0,0.8
Alperen Sengun,20,HOU,C,75,72,2171,442,799,.553,19,57,.333,423,742,.570,.565,206,288,.715,242,436,678,291,70,70,193,258,1109,2,,alperen-sengun,1767,23.6,0.81,28.9,19.2
Amir Coffey,25,LAC,SF,50,9,625,56,145,.386,11,40,.275,45,105,.429,.424,49,63,.778,17,36,53,53,7,5,21,50,172,0,,amir-coffey,219,4.4,0.35,12.5,1.5
Andre Drummond,29,CHI,C,67,0,849,166,274,.606,0,3,.000,166,271,.613,.606,67,125,.536,138,306,444,33,45,27,75,117,399,0,,andre-drummond,756,11.3,0.89,12.7,10.0
Andre Iguodala,39,GSW,PF,8,0,113,7,15,.467,1,9,.111,6,6,1.000,.500,2,3,.667,3,14,17,19,4,3,9,11,17,0,,andre-iguodala,40,5.0,0.35,14.1,1.8
