Player,Player Link,Player Key,Team,Team Link,Age,Position,2024-25,2025-26,2026-27,2027-28,2028-29
Aaron Gordon,https://www.spotrac.com/nba/player/_/id/15356,aaron-gordon,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,29,PF,$22841455,$22841455,$31978037,$34536280,$37094523
Aaron Holiday,https://www.spotrac.com/nba/player/_/id/26989,aaron-holiday,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly,28,PG,$4668000,$4901400,UFA,,
Aaron Nesmith,https://www.spotrac.com/nba/player/_/id/70656,aaron-nesmith,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,25,SF,$11000000,$11000000,$11000000,UFA,
Aaron Wiggins,https://www.spotrac.com/nba/player/_/id/74162,aaron-wiggins,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,26,SG,$10514017,$9672897,$8831776,$7990655,$7990655
Adam Flagler,https://www.spotrac.com/nba/player/_/id/86081,adam-flagler,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,25,G,Two-Way,RFA,,,
Adama Sanogo,https://www.spotrac.com/nba/player/_/id/84939,adama-sanogo,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly,22,PF,Two-Way,RFA,,,
Adem Bona,https://www.spotrac.com/nba/player/_/id/91790,adem-bona,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,21,C,$1157153,$1955377,$2296271,$2486995,UFA
AJ Green,https://www.spotrac.com/nba/player/_/id/78250,aj-green,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,25,SG,$2120693,$2301587,UFA,,
AJ Johnson,https://www.spotrac.com/nba/player/_/id/92952,aj-johnson,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,20,PG,$2795294,$3090480,$3237120,$5493394,RFA
Ajay Mitchell,https://www.spotrac.com/nba/player/_/id/92958,ajay-mitchell,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,22,PG,Two-Way,RFA,,,
Al Horford,https://www.spotrac.com/nba/player/_/id/2199,al-horford,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,38,C,$9500000,UFA,,,
Alec Burks,https://www.spotrac.com/nba/player/_/id/8063,alec-burks,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly,33,SG,$2087519,UFA,,,
Alex Caruso,https://www.spotrac.com/nba/player/_/id/21076,alex-caruso,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,30,SG,$9890000,UFA,,,
