Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player Link,Team Link,Player Key,FP,FPPG,FPPM,MPG,FPR
Aaron Gordon,,DEN,,32,,882,,,,,,,,,,,,,,,,190,80,19,9,34,52,532,,,https://www.nba.com/player/aaron-gordon,https://www.nba.com/team/DEN,aaron-gordon,744,23.2,0.84,27.6,19.6
Aaron Holiday,,HOU,,49,,660,,,,,,,,,,,,,,,,46,50,22,4,34,62,271,,,https://www.nba.com/player/aaron-holiday,https://www.nba.com/team/HOU,aaron-holiday,297,6.1,0.45,13.5,2.7
Aaron Nesmith,,IND,,45,,1335,,,,,,,,,,,,,,,,187,86,26,23,63,124,621,,,https://www.nba.com/player/aaron-nesmith,https://www.nba.com/team/IND,aaron-nesmith,756,16.8,0.57,29.7,9.5
Aaron Wiggins,,OKC,,59,,1317,,,,,,,,,,,,,,,,191,99,55,26,76,76,576,,,https://www.nba.com/player/aaron-wiggins,https://www.nba.com/team/OKC,aaron-wiggins,795,13.5,0.6,22.3,8.1
Ace Bailey,,UTA,,67,,1830,,,,,,,,,,,,,,,,278,123,56,44,94,182,907,,,https://www.nba.com/player/ace-bailey,https://www.nba.com/team/UTA,ace-bailey,1132,16.9,0.62,27.3,10.5
Adama Bal,,MEM,,2,,59,,,,,,,,,,,,,,,,5,5,3,0,0,7,12,,,https://www.nba.com/player/adama-bal,https://www.nba.com/team/MEM,adama-bal,18,9.0,0.31,29.5,2.7
Adem Bona,,PHI,,65,,1132,,,,,,,,,,,,,,,,288,28,27,81,51,144,310,,,https://www.nba.com/player/adem-bona,https://www.nba.com/team/PHI,adem-bona,539,8.3,0.48,17.4,3.9
Adou Thiero,,LAL,,20,,107,,,,,,,,,,,,,,,,20,6,5,2,5,16,29,,,https://www.nba.com/player/adou-thiero,https://www.nba.com/team/LAL,adou-thiero,41,2.0,0.38,5.4,0.8
AJ Green,,MIL,,70,,1992,,,,,,,,,,,,,,,,177,134,34,7,59,161,669,,,https://www.nba.com/player/aj-green,https://www.nba.com/team/MIL,aj-green,801,11.4,0.4,28.5,4.6
AJ Johnson,,DAL,,42,,368,,,,,,,,,,,,,,,,47,38,9,2,24,22,112,,,https://www.nba.com/player/aj-johnson,https://www.nba.com/team/DAL,aj-johnson,162,3.9,0.44,8.8,1.7
A.J. Lawson,,TOR,,16,,135,,,,,,,,,,,,,,,,27,5,7,3,4,19,63,,,https://www.nba.com/player/aj-lawson,https://www.nba.com/team/TOR,aj-lawson,82,5.1,0.61,8.4,3.1
Ajay Mitchell,,OKC,,53,,1392,,,,,,,,,,,,,,,,182,192,68,18,79,113,741,,,https://www.nba.com/player/ajay-mitchell,https://www.nba.com/team/OKC,ajay-mitchell,1009,19.0,0.72,26.3,13.8
Al Horford,,GSW,,43,,933,,,,,,,,,,,,,,,,215,112,30,50,41,50,357,,,https://www.nba.com/player/al-horford,https://www.nba.com/team/GSW,al-horford,673,15.7,0.72,21.7,11.3
Alex Caruso,,OKC,,53,,984,,,,,,,,,,,,,,,,146,108,71,17,45,65,335,,,https://www.nba.com/player/alex-caruso,https://www.nba.com/team/OKC,alex-caruso,567,10.7,0.58,18.6,6.2
Alex Morales,,ORL,,1,,12,,,,,,,,,,,,,,,,3,4,0,0,2,4,2,,,https://www.nba.com/player/alex-morales,https://www.nba.com/team/ORL,alex-morales,3,3.0,0.25,12.0,0.8
Alex Sarr,,WAS,,48,,1305,,,,,,,,,,,,,,,,355,130,39,95,82,105,783,,,https://www.nba.com/player/alex-sarr,https://www.nba.com/team/WAS,alex-sarr,1215,25.3,0.93,27.2,23.6
Alijah Martin,,TOR,,18,,118,,,,,,,,,,,,,,,,19,9,8,4,5,10,48,,,https://www.nba.com/player/alijah-martin,https://www.nba.com/team/TOR,alijah-martin,73,4.1,0.62,6.6,2.5
