Player,Player Link,Player Key,Team,Team Link,Position,Age,2026-27,2027-28,2028-29,2029-30,2030-31,Owner
Aaron Gordon,https://www.spotrac.com/nba/player/_/id/15356/aaron-gordon,aaron-gordon,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,PF,31,$31978037,$34536280,$37094523,UFA,,BJ
Aaron Nesmith,https://www.spotrac.com/nba/player/_/id/70656/aaron-nesmith,aaron-nesmith,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly,SF,27,$11000000,$19418000,$20971440,UFA,,
Aaron Wiggins,https://www.spotrac.com/nba/player/_/id/74162/aaron-wiggins,aaron-wiggins,Atlanta Hawks,https://www.spotrac.com/nba/atlanta-hawks/yearly,SG,28,$9028038,$8168226,$8168226,UFA,,
Ace Bailey,https://www.spotrac.com/nba/player/_/id/98599/ace-bailey,ace-bailey,Utah Jazz,https://www.spotrac.com/nba/utah-jazz/yearly,SF,20,$9523080,$9976560,$12640302,RFA,,Hil
Adam Flagler,https://www.spotrac.com/nba/player/_/id/86081/adam-flagler,adam-flagler,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly,G,27,Two-Way,Two-Way,,,,
Aday Mara,https://www.spotrac.com/nba/player/_/id/107930/aday-mara,aday-mara,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,C,21,$5791680,$6081480,$6371160,$8779459,RFA,
Adem Bona,https://www.spotrac.com/nba/player/_/id/91790/adem-bona,adem-bona,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly,C,23,$2296271,$2486995,UFA,,,
Adou Thiero,https://www.spotrac.com/nba/player/_/id/98625/adou-thiero,adou-thiero,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly,SF,22,$2150917,$2525901,RFA,,,
AJ Dybantsa,https://www.spotrac.com/nba/player/_/id/107917/aj-dybantsa,aj-dybantsa,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,SF,20,$14748000,$15485760,$16223040,$20457254,RFA,
AJ Green,https://www.spotrac.com/nba/player/_/id/78250/aj-green,aj-green,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly,SG,27,$10044644,$10848215,$11651786,$12455355,UFA,
AJ Johnson,https://www.spotrac.com/nba/player/_/id/92952/aj-johnson,aj-johnson,Memphis Grizzlies,https://www.spotrac.com/nba/memphis-grizzlies/yearly,PG,22,$3237120,$5493394,RFA,,,Efrain
Ajay Mitchell,https://www.spotrac.com/nba/player/_/id/92958/ajay-mitchell,ajay-mitchell,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,PG,24,$2850000,$2850000,UFA,,,Colin
AK Okereke,https://www.spotrac.com/nba/player/_/id/108844/ak-okereke,ak-okereke,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly,F,23,Two-Way,,,,,
Al Horford,https://www.spotrac.com/nba/player/_/id/2199/al-horford,al-horford,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly,C,40,$6822000,$7163100,UFA,,,
Alex Caruso,https://www.spotrac.com/nba/player/_/id/21076/alex-caruso,alex-caruso,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly,SG,32,$19550160,$20998320,$22446480,UFA,,
Alex Karaban,https://www.spotrac.com/nba/player/_/id/91783/alex-karaban,alex-karaban,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly,PF,24,$2948280,$3095640,$3243120,$5853832,RFA,
Alex Morales,https://www.spotrac.com/nba/player/_/id/79998/alex-morales,alex-morales,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly,G,29,Two-Way,,,,,
Alex Sarr,https://www.spotrac.com/nba/player/_/id/91734/alex-sarr,alex-sarr,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly,PF,21,$12370680,$15611798,RFA,,,David
Alijah Martin,https://www.spotrac.com/nba/player/_/id/98642/alijah-martin,alijah-martin,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly,SG,25,$2185116,$2571895,RFA,,,
Allen Graves,https://www.spotrac.com/nba/player/_/id/107944/allen-graves,allen-graves,Toronto Raptors,https://www.spotrac.com/nba/toronto-raptors/yearly,PF,20,$4065720,$4268880,$4472640,$6887866,RFA,
Alperen Sengun,https://www.spotrac.com/nba/player/_/id/74123/alperen-sengun,alperen-sengun,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly,C,24,$35642202,$37339450,$39036697,$39036697,UFA,Hil
Alpha Diallo,https://www.spotrac.com/nba/player/_/id/108985/alpha-diallo,alpha-diallo,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly,SF,29,$1357763,RFA,,,,
Amari Williams,https://www.spotrac.com/nba/player/_/id/98644/amari-williams,amari-williams,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly,C,25,Two-Way,,,,,
Amen Thompson,https://www.spotrac.com/nba/player/_/id/82199/amen-thompson,amen-thompson,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly,PG,24,$12258609,RFA,,,,Colin
Andre Drummond,https://www.spotrac.com/nba/player/_/id/10817/andre-drummond,andre-drummond,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly,C,33,$2449421,UFA,,,,
