Player,Player Link,Position,Age,2024-25,2025-26,2026-27,2027-28,2028-29,Player Key,Team,Team Link
Aaron Gordon,https://www.spotrac.com/nba/player/_/id/15356,PF,29,$22841455,$22841455,$31978037,$34536280,$37094523,aaron-gordon,Denver Nuggets,https://www.spotrac.com/nba/denver-nuggets/yearly
Aaron Holiday,https://www.spotrac.com/nba/player/_/id/26989,PG,28,$4668000,$4901400,UFA,,,aaron-holiday,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Aaron Nesmith,https://www.spotrac.com/nba/player/_/id/70656,SF,25,$11000000,$11000000,$11000000,UFA,,aaron-nesmith,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Aaron Wiggins,https://www.spotrac.com/nba/player/_/id/74162,SG,26,$10514017,$9672897,$8831776,$7990655,$7990655,aaron-wiggins,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Adam Flagler,https://www.spotrac.com/nba/player/_/id/86081,G,25,Two-Way,RFA,,,,adam-flagler,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Adama Sanogo,https://www.spotrac.com/nba/player/_/id/84939,PF,22,Two-Way,RFA,,,,adama-sanogo,Chicago Bulls,https://www.spotrac.com/nba/chicago-bulls/yearly
Adem Bona,https://www.spotrac.com/nba/player/_/id/91790,C,21,$1157153,$1955377,$2296271,$2486995,UFA,adem-bona,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
AJ Green,https://www.spotrac.com/nba/player/_/id/78250,SG,25,$2120693,$2301587,UFA,,,aj-green,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
AJ Johnson,https://www.spotrac.com/nba/player/_/id/92952,PG,20,$2795294,$3090480,$3237120,$5493394,RFA,aj-johnson,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Ajay Mitchell,https://www.spotrac.com/nba/player/_/id/92958,PG,22,Two-Way,RFA,,,,ajay-mitchell,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Al Horford,https://www.spotrac.com/nba/player/_/id/2199,C,38,$9500000,UFA,,,,al-horford,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Alec Burks,https://www.spotrac.com/nba/player/_/id/8063,SG,33,$2087519,UFA,,,,alec-burks,Miami Heat,https://www.spotrac.com/nba/miami-heat/yearly
Alex Caruso,https://www.spotrac.com/nba/player/_/id/21076,SG,30,$9890000,UFA,,,,alex-caruso,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Alex Ducas,https://www.spotrac.com/nba/player/_/id/94882,G,24,Two-Way,RFA,,,,alex-ducas,Oklahoma City Thunder,https://www.spotrac.com/nba/oklahoma-city-thunder/yearly
Alex Len,https://www.spotrac.com/nba/player/_/id/13318,C,31,$2087519,UFA,,,,alex-len,Sacramento Kings,https://www.spotrac.com/nba/sacramento-kings/yearly
Alex Sarr,https://www.spotrac.com/nba/player/_/id/91734,PF,19,$11245680,$11808240,$12370680,$15611798,RFA,alex-sarr,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Alondes Williams,https://www.spotrac.com/nba/player/_/id/78284,G,25,Two-Way,Two-Way,RFA,,,alondes-williams,Detroit Pistons,https://www.spotrac.com/nba/detroit-pistons/yearly
Alperen Sengun,https://www.spotrac.com/nba/player/_/id/74123,C,22,$5424654,$33944954,$35642202,$37339450,$39036697,alperen-sengun,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Amen Thompson,https://www.spotrac.com/nba/player/_/id/82199,PG,22,$9249960,$9690600,$12258609,RFA,,amen-thompson,Houston Rockets,https://www.spotrac.com/nba/houston-rockets/yearly
Amir Coffey,https://www.spotrac.com/nba/player/_/id/32198,SG,27,$3938271,UFA,,,,amir-coffey,LA Clippers,https://www.spotrac.com/nba/la-clippers/yearly
Andre Drummond,https://www.spotrac.com/nba/player/_/id/10817,C,31,$5000000,$5000000,UFA,,,andre-drummond,Philadelphia 76ers,https://www.spotrac.com/nba/philadelphia-76ers/yearly
Andre Jackson Jr.,https://www.spotrac.com/nba/player/_/id/82321,SG,23,$1891857,$2221677,$2406205,UFA,,andre-jackson,Milwaukee Bucks,https://www.spotrac.com/nba/milwaukee-bucks/yearly
Andrew Nembhard,https://www.spotrac.com/nba/player/_/id/78137,PG,25,$2019699,$18102000,$19550160,$20998320,UFA,andrew-nembhard,Indiana Pacers,https://www.spotrac.com/nba/indiana-pacers/yearly
Andrew Wiggins,https://www.spotrac.com/nba/player/_/id/15353,SF,29,$26276786,$28223215,$30169644,UFA,,andrew-wiggins,Golden State Warriors,https://www.spotrac.com/nba/golden-state-warriors/yearly
Anfernee Simons,https://www.spotrac.com/nba/player/_/id/26990,SG,25,$25892857,$27678571,UFA,,,anfernee-simons,Portland Trail Blazers,https://www.spotrac.com/nba/portland-trail-blazers/yearly
Anthony Black,https://www.spotrac.com/nba/player/_/id/82203,SG,21,$7607760,$7970280,$10106316,RFA,,anthony-black,Orlando Magic,https://www.spotrac.com/nba/orlando-magic/yearly
Anthony Davis,https://www.spotrac.com/nba/player/_/id/10809,C,31,$43219440,$54126380,$58456490,$62786601,UFA,anthony-davis,Los Angeles Lakers,https://www.spotrac.com/nba/los-angeles-lakers/yearly
Anthony Edwards,https://www.spotrac.com/nba/player/_/id/70643,SG,23,$42176400,$45550512,$48924624,$52298736,$55672848,anthony-edwards,Minnesota Timberwolves,https://www.spotrac.com/nba/minnesota-timberwolves/yearly
Anthony Gill,https://www.spotrac.com/nba/player/_/id/70741,PF,32,$2087519,$2546675,UFA,,,anthony-gill,Washington Wizards,https://www.spotrac.com/nba/washington-wizards/yearly
Anton Watson,https://www.spotrac.com/nba/player/_/id/93961,PF,24,Two-Way,RFA,,,,anton-watson,Boston Celtics,https://www.spotrac.com/nba/boston-celtics/yearly
Antonio Reeves,https://www.spotrac.com/nba/player/_/id/93956,SG,24,$1157153,$1955377,$2296271,RFA,,antonio-reeves,New Orleans Pelicans,https://www.spotrac.com/nba/new-orleans-pelicans/yearly
Ariel Hukporti,https://www.spotrac.com/nba/player/_/id/93962,C,22,$1064049,$1955377,RFA,,,ariel-hukporti,New York Knicks,https://www.spotrac.com/nba/new-york-knicks/yearly
