"Player","Age","Team","Pos","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Trp-Dbl","Awards","Player Key"
"Aaron Gordon","29","DEN","PF","7","7","212","37","70",".529","12","22",".545","25","48",".521",".614","22","26",".846","19","28","47","22","5","2","9","13","108","0","","aaron-gordon"
"Aaron Holiday","28","HOU","PG","7","0","64","9","19",".474","6","14",".429","3","5",".600",".632","5","7",".714","0","5","5","10","1","1","3","4","29","0","","aaron-holiday"
"Aaron Nesmith","25","IND","SF","6","6","136","19","36",".528","6","11",".545","13","25",".520",".611","11","13",".846","4","20","24","6","4","2","5","24","55","0","","aaron-nesmith"
"Aaron Wiggins","26","OKC","SG","14","5","305","53","116",".457","22","50",".440","31","66",".470",".552","9","11",".818","18","37","55","29","12","5","10","21","137","0","","aaron-wiggins"
"Adam Flagler","25","OKC","SG","6","0","15","3","5",".600","3","5",".600","0","0","",".900","0","0","","0","2","2","0","1","0","0","3","9","0","","adam-flagler"
"Adama Sanogo","22","CHI","C","3","0","14","3","5",".600","0","0","","3","5",".600",".600","0","0","","2","0","2","1","0","0","1","1","6","0","","adama-sanogo"
"Adem Bona","21","PHI","PF","9","0","33","5","6",".833","0","0","","5","6",".833",".833","1","1","1.000","5","8","13","0","0","3","2","5","11","0","","adem-bona"
"A.J. Green","25","MIL","SG","12","2","203","29","59",".492","28","57",".491","1","2",".500",".729","2","2","1.000","2","16","18","10","7","0","6","10","88","0","","aj-green"
"AJ Johnson","20","MIL","SG","4","0","8","1","3",".333","0","0","","1","3",".333",".333","0","0","","0","1","1","1","0","0","1","0","2","0","","aj-johnson"
"Ajay Mitchell","22","OKC","SG","14","0","224","30","61",".492","6","15",".400","24","46",".522",".541","7","9",".778","4","20","24","28","12","1","10","24","73","0","","ajay-mitchell"
"Al Horford","38","BOS","C","12","12","324","41","82",".500","27","60",".450","14","22",".636",".665","4","4","1.000","12","53","65","28","12","8","13","15","113","0","","al-horford"
"Alec Burks","33","MIA","SG","5","0","91","10","20",".500","9","14",".643","1","6",".167",".725","2","2","1.000","2","6","8","9","3","1","1","2","31","0","","alec-burks"
"Alex Caruso","30","OKC","SG","11","0","215","17","55",".309","7","32",".219","10","23",".435",".373","5","7",".714","9","23","32","25","19","7","7","32","46","0","","alex-caruso"
"Alex Ducas","24","OKC","SG","4","0","7","0","3",".000","0","2",".000","0","1",".000",".000","0","0","","0","0","0","0","0","0","0","0","0","0","","alex-ducas"
"Alex Len","31","SAC","C","11","1","88","10","16",".625","0","3",".000","10","13",".769",".625","2","4",".500","5","22","27","9","2","8","5","12","22","0","","alex-len"
"Alex Reese","25","OKC","PF","1","0","2","1","1","1.000","0","0","","1","1","1.000","1.000","0","0","","1","0","1","0","0","0","0","0","2","0","","alex-reese"
"Alex Sarr","19","WAS","C","12","12","308","43","122",".352","12","55",".218","31","67",".463",".402","21","30",".700","21","47","68","27","10","27","15","34","119","0","","alex-sarr"
"Alperen Sengun","22","HOU","C","14","14","404","95","199",".477","7","23",".304","88","176",".500",".495","48","63",".762","50","109","159","69","13","21","27","38","245","2","","alperen-sengun"
"Amen Thompson","22","HOU","SF","14","1","351","57","104",".548","4","15",".267","53","89",".596",".567","41","57",".719","26","68","94","32","14","10","22","34","159","0","","amen-thompson"
"Amir Coffey","27","LAC","SG","14","0","326","44","90",".489","20","43",".465","24","47",".511",".600","20","24",".833","8","24","32","16","9","0","7","20","128","0","","amir-coffey"
"Andre Drummond","31","PHI","C","11","9","257","37","75",".493","1","4",".250","36","71",".507",".500","19","36",".528","36","69","105","5","14","5","21","34","94","0","","andre-drummond"
"Andre Jackson Jr.","23","MIL","SG","12","4","222","17","37",".459","9","22",".409","8","15",".533",".581","4","8",".500","4","24","28","19","10","4","18","32","47","0","","andre-jackson"
"Andrew Nembhard","25","IND","SG","7","7","187","20","52",".385","3","13",".231","17","39",".436",".413","8","10",".800","1","13","14","33","6","0","10","15","51","0","","andrew-nembhard"
