"Player","Player Link","Player Key","Signed Using"
"Aaron Gordon","https://www.spotrac.com/nba/player/_/id/15356","aaron-gordon","Bird Rights"
"Aaron Holiday","https://www.spotrac.com/nba/player/_/id/26989","aaron-holiday","Bi-Annual Exception"
"Aaron Nesmith","https://www.spotrac.com/nba/player/_/id/70656","aaron-nesmith","Bird Rights"
"Aaron Wiggins","https://www.spotrac.com/nba/player/_/id/74162","aaron-wiggins","Bird Rights"
"Adem Bona","https://www.spotrac.com/nba/player/_/id/91790","adem-bona","Second Round Exception"
"AJ Green","https://www.spotrac.com/nba/player/_/id/78250","aj-green","Non-Bird Rights"
"AJ Johnson","https://www.spotrac.com/nba/player/_/id/92952","aj-johnson","Rookie Scale Exception"
"Al Horford","https://www.spotrac.com/nba/player/_/id/2199","al-horford","Bird Rights"
"Alec Burks","https://www.spotrac.com/nba/player/_/id/8063","alec-burks","Minimum"
"Alex Caruso","https://www.spotrac.com/nba/player/_/id/21076","alex-caruso","Non-Taxpayer Mid-Level Exception"
"Alex Len","https://www.spotrac.com/nba/player/_/id/13318","alex-len","Minimum"
"Alex Sarr","https://www.spotrac.com/nba/player/_/id/91734","alex-sarr","Rookie Scale Exception"
"Alperen Sengun","https://www.spotrac.com/nba/player/_/id/74123","alperen-sengun","Bird Rights"
"Amen Thompson","https://www.spotrac.com/nba/player/_/id/82199","amen-thompson","Rookie Scale Exception"
"Amir Coffey","https://www.spotrac.com/nba/player/_/id/32198","amir-coffey","Bird Rights"
"Andre Drummond","https://www.spotrac.com/nba/player/_/id/10817","andre-drummond","Cap Space"
"Andre Jackson Jr.","https://www.spotrac.com/nba/player/_/id/82321","andre-jackson","Second Round Exception"
"Andrew Nembhard","https://www.spotrac.com/nba/player/_/id/78137","andrew-nembhard","Bird Rights"
"Andrew Wiggins","https://www.spotrac.com/nba/player/_/id/15353","andrew-wiggins","Bird Rights"
"Anfernee Simons","https://www.spotrac.com/nba/player/_/id/26990","anfernee-simons","Bird Rights"
"Anthony Black","https://www.spotrac.com/nba/player/_/id/82203","anthony-black","Rookie Scale Exception"
"Anthony Davis","https://www.spotrac.com/nba/player/_/id/10809","anthony-davis","Bird Rights"
"Anthony Edwards","https://www.spotrac.com/nba/player/_/id/70643","anthony-edwards","Bird Rights"
"Anthony Gill","https://www.spotrac.com/nba/player/_/id/70741","anthony-gill","Minimum"
"Antonio Reeves","https://www.spotrac.com/nba/player/_/id/93956","antonio-reeves","Second Round Exception"
"Ariel Hukporti","https://www.spotrac.com/nba/player/_/id/93962","ariel-hukporti","Minimum"
"Ausar Thompson","https://www.spotrac.com/nba/player/_/id/82200","ausar-thompson","Rookie Scale Exception"
"Austin Reaves","https://www.spotrac.com/nba/player/_/id/74218","austin-reaves","Early Bird Rights"
"Ayo Dosunmu","https://www.spotrac.com/nba/player/_/id/74145","ayo-dosunmu","Early Bird Rights"
"Bam Adebayo","https://www.spotrac.com/nba/player/_/id/23609","bam-adebayo","Bird Rights"
"Baylor Scheierman","https://www.spotrac.com/nba/player/_/id/91780","baylor-scheierman","Rookie Scale Exception"
"Ben Sheppard","https://www.spotrac.com/nba/player/_/id/84440","ben-sheppard","Rookie Scale Exception"
"Ben Simmons","https://www.spotrac.com/nba/player/_/id/20206","ben-simmons","Bird Rights"
"Bennedict Mathurin","https://www.spotrac.com/nba/player/_/id/78115","bennedict-mathurin","Rookie Scale Exception"
