"Player Link","Player Key","Signed Using","Formatted Signed Using"
"https://www.spotrac.com/nba/player/_/id/15356","aaron-gordon","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/26989","aaron-holiday","bi-annual-exception","Bi Annual Exception"
"https://www.spotrac.com/nba/player/_/id/70656","aaron-nesmith","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/74162","aaron-wiggins","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/91790","adem-bona","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/78250","aj-green","Non-Bird Rights","Non Bird Rights"
"https://www.spotrac.com/nba/player/_/id/92952","aj-johnson","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/2199","al-horford","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/8063","alec-burks","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/21076","alex-caruso","non-taxpayer-mid-level-exception","Non Taxpayer Mid Level Exception"
"https://www.spotrac.com/nba/player/_/id/13318","alex-len","Minimum","Minimum"
"https://www.spotrac.com/nba/player/_/id/91734","alex-sarr","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/74123","alperen-sengun","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/82199","amen-thompson","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/32198","amir-coffey","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/10817","andre-drummond","cap-space","Cap Space"
"https://www.spotrac.com/nba/player/_/id/82321","andre-jackson","second-round-exception","Second Round Exception"
"https://www.spotrac.com/nba/player/_/id/78137","andrew-nembhard","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/15353","andrew-wiggins","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/26990","anfernee-simons","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/82203","anthony-black","rookie-scale-exception","Rookie Scale Exception"
"https://www.spotrac.com/nba/player/_/id/10809","anthony-davis","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/70643","anthony-edwards","Bird Rights","Bird Rights"
"https://www.spotrac.com/nba/player/_/id/70741","anthony-gill","Minimum","Minimum"
